candidate,entry_date,expiry,exit_date,exit_reason,sleeve
core_put_4x_integer,2022-07-22,2022-10-21,2022-07-28,signal_close,core
core_put_4x_integer,2022-08-03,2022-10-21,2022-08-09,signal_close,core
core_put_4x_integer,2022-08-19,2022-12-16,2022-08-22,signal_close,core
core_put_4x_integer,2022-08-23,2022-11-18,2022-09-05,roll_close,core
core_put_4x_integer,2022-09-05,2022-12-16,2022-09-07,signal_close,core
core_put_4x_integer,2022-09-15,2022-12-16,2022-10-17,signal_close,core
core_put_4x_integer,2022-12-13,2023-03-17,2023-01-30,roll_close,core
core_put_4x_integer,2023-01-30,2023-04-21,2023-02-06,signal_close,core
core_put_4x_integer,2023-02-07,2023-04-21,2023-02-20,roll_close,core
core_put_4x_integer,2023-02-20,2023-05-19,2023-03-07,signal_close,core
core_put_4x_integer,2023-03-10,2023-06-16,2023-03-20,signal_close,core
core_put_4x_integer,2023-05-08,2023-07-21,2023-05-12,signal_close,core
core_put_4x_integer,2023-05-15,2023-07-21,2023-05-19,roll_close,core
core_put_4x_integer,2023-05-19,2023-09-15,2023-05-22,roll_close,core
core_put_4x_integer,2023-05-22,2023-08-18,2023-05-29,signal_close,core
core_put_4x_integer,2023-05-31,2023-08-18,2023-06-02,roll_close,core
core_put_4x_integer,2023-06-02,2023-09-15,2023-06-15,signal_close,core
core_put_4x_integer,2023-07-19,2023-09-15,2023-07-24,roll_close,core
core_put_4x_integer,2023-07-24,2023-10-20,2023-08-18,roll_close,core
core_put_4x_integer,2023-08-18,2023-12-15,2023-08-21,roll_close,core
core_put_4x_integer,2023-08-21,2023-11-17,2023-09-04,roll_close,core
core_put_4x_integer,2023-09-04,2023-12-15,2023-10-23,roll_close,core
core_put_4x_integer,2023-10-23,2024-01-19,2023-11-17,roll_close,core
core_put_4x_integer,2023-11-17,2024-03-15,2023-11-20,roll_close,core
core_put_4x_integer,2023-11-20,2024-02-19,2023-12-05,roll_close,core
core_put_4x_integer,2023-12-05,2024-03-15,2024-01-22,roll_close,core
core_put_4x_integer,2024-01-22,2024-04-19,2024-02-20,roll_close,core
core_put_4x_integer,2024-02-20,2024-05-17,2024-03-05,roll_close,core
core_put_4x_integer,2024-03-05,2024-06-21,2024-04-22,roll_close,core
core_put_4x_integer,2024-04-22,2024-07-19,2024-05-20,roll_close,core
core_put_4x_integer,2024-05-20,2024-08-16,2024-06-04,roll_close,core
core_put_4x_integer,2024-06-04,2024-09-20,2024-07-22,roll_close,core
core_put_4x_integer,2024-07-22,2024-10-18,2024-08-05,signal_close,core
core_put_4x_integer,2024-08-06,2024-10-18,2024-08-07,signal_close,core
core_put_4x_integer,2024-08-12,2024-10-18,2024-08-19,roll_close,core
core_put_4x_integer,2024-08-19,2024-11-15,2024-09-04,roll_close,core
core_put_4x_integer,2024-09-04,2024-12-20,2024-10-08,signal_close,core
core_put_4x_integer,2025-04-08,2025-06-20,2025-04-10,signal_close,core
core_put_4x_integer,2025-04-18,2025-06-20,2025-04-21,roll_close,core
core_put_4x_integer,2025-04-21,2025-07-18,2025-04-22,signal_close,core
core_put_4x_integer,2025-04-25,2025-07-18,2025-05-06,signal_close,core
core_put_4x_integer,2025-05-08,2025-07-18,2025-05-19,roll_close,core
core_put_4x_integer,2025-05-19,2025-08-15,2025-05-21,signal_close,core
core_put_4x_integer,2025-05-23,2025-08-15,2025-05-27,signal_close,core
core_put_4x_integer,2025-05-28,2025-08-15,2025-05-29,signal_close,core
core_put_4x_integer,2025-05-30,2025-08-15,2025-06-04,roll_close,core
core_put_4x_integer,2025-06-04,2025-09-19,2025-06-26,signal_close,core
core_put_4x_integer,2026-01-12,2026-03-20,2026-01-19,roll_close,core
core_put_4x_integer,2026-01-19,2026-04-17,2026-02-25,roll_close,core
core_put_4x_integer,2026-02-25,2026-05-15,2026-03-04,roll_close,core
